"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
11,"alenFMF/ROM-19-20-Vaje",142,855,599,9403,2798,66,20,1,20,NULL,9,71,45,2,1,73,22,4,0,1,0,1,1,0,0,0,0,0,0,16,0,0,1,1,251,0,1,855,0,1,0,1,0,2247,4,1,1,0,1,0,0,0,0,1,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-02 22:33:03.117496","2022-03-02 22:33:03.117496"
12,"codepath/android_guides",62,3179,214,188,71,3,1,2,32,NULL,2,4,8,5,3,4,2,6395,2,34,789,393,158,142,0,0,0,2,337,38,505,0,1,4,1100,5,1,3179,0,0,1,27681,0,5366,6470,3,4,1,1,0,0,1,0,2,36,25,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,27681,9,675,0,0,0,0,0,0,0,"2022-03-02 22:42:16.024538","2022-03-02 22:42:16.024538"
13,"tushartushar/theGreekLegacy",65,1828,1796,617,213,9,3,1,28,NULL,5,22,23,1,1,8,2,3,0,2,5,2,1,0,0,0,0,2,103,16,80,0,1,1,66,0,1,1828,0,0,0,14,0,919,3,1,31,31,31,31,0,0,0,1,87,20,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,14,1,3,0,0,0,0,0,0,0,"2022-03-02 22:42:58.140704","2022-03-02 22:42:58.140704"
14,"Azure/uk-official-paas-webapp",19,1353,846,2434,70,128,4,2,34,NULL,3,7,4,3,1,28,1,9,0,1,7,5,2,0,0,0,0,1,672,29,129,0,1,1,81,0,2,1353,0,1,0,5,0,15176,10,1,1,1,1,1,0,0,0,1,56,16,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,5,1,1,0,0,0,0,0,0,0,"2022-03-02 22:43:22.230206","2022-03-02 22:43:22.230206"
15,"microsoft/v8-jsi",87,765,2,60562,14559,696,167,10,171,NULL,1,5,10,8,6,707,176,19,0,3,105,117,5,61,0,0,0,0,531,33,314,0,1,3,807,0,7,765,0,8,0,85,0,3342,19,2,557,345,278,172,0,2,7,5,393,24,5,0,0,1,1,0,0,0,0,0,0,0,0,NULL,85,1,16,0,0,0,0,0,0,0,"2022-03-02 22:44:34.124583","2022-03-02 22:44:34.124583"
16,"MicrosoftDocs/Dynamics-365-Operations.da-dk",1054,1834,1,1849403,1296317,1755,1230,48,35,NULL,2,18,0,0,0,0,0,6,0,2,32,30,0,0,0,0,0,1,35032,40,58,0,1,2,114044,0,8,1834,0,1,0,2,0,379,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-03 00:05:51.568255","2022-03-03 00:05:51.568255"
17,"skasberger/datenanalyse-ss18",618,1396,1353,41584,6339,67,10,2,32,NULL,25,112,37,14,2,53,13,36,0,27,15,121,80,70,0,0,0,0,166,35,558,0,10,67,11455,0,2,1396,0,1,0,1,0,3738,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-03 00:11:25.904948","2022-03-03 00:11:25.904948"
18,"MicrosoftDocs/EMDocs",2406,2224,98,244931,191749,102,80,6,57,NULL,5,37,85,12,4,74,70,49,0,3,147,213,1,231,1,0,0,0,262,19,26,0,1,4,31205,0,5,2224,0,1,0,10,0,645,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,10,1,1,0,0,0,0,0,0,0,"2022-03-03 00:33:55.012383","2022-03-03 00:33:55.012383"
19,"KristineK/selenium_java_basic",11,1674,307,2817,306,256,28,15,19,NULL,2,4,0,0,0,0,0,35,0,8,0,6,0,0,0,0,0,0,0,15,0,0,1,1,75437,0,1,1674,0,2,0,5,0,3670,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,5,1,2,0,0,0,0,0,0,0,"2022-03-03 00:34:13.469731","2022-03-03 00:34:13.469731"
20,"microsoftgraph/msgraph-training-pythondjangoapp.de-DE",22,1092,25,3596,1992,163,91,6,23,NULL,1,2,2,10,7,171,94,1,0,1,3,8,5,8,1,0,0,0,17,56,7192,0,2,5,699,0,9,1092,0,0,0,1,0,1658,1,5,5,5,1,1,0,0,0,1,8567,58,1,1,0,1,4,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-03 00:34:40.930629","2022-03-03 00:34:40.930629"
21,"MicrosoftDocs/pipelines-java",23,1284,1048,994,798,43,35,3,46,NULL,4,12,4,5,1,57,10,5888,4,26,97,110,53,1,0,0,0,0,419,15,102,0,1,4,74,0,2,1284,0,1,0,66,0,2052,5965,51,2496,47,48,0,0,0,0,6,132,16,2,0,0,1,4,0,0,0,0,0,0,0,0,NULL,66,1,2,0,0,0,0,0,0,0,"2022-03-03 00:40:06.661226","2022-03-03 00:40:06.661226"
22,"joyce-adri/Examen_Final",51,1644,1635,459,63,9,1,1,16,NULL,9,18,1,51,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,31,1644,0,1,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-03 00:40:36.5851","2022-03-03 00:40:36.5851"
23,"Azure-Samples/azure-iot-edge-devops-sample-java",7,1008,701,1194,18,171,3,5,30,NULL,1,2,1,3,3,73,3,1,0,1,0,2,1,1,0,0,0,0,0,34,2939,0,1,1,21,0,3,1004,0,2,0,0,0,359,1,1,1,1,1,1,0,0,0,1,5684,54,1,1,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-03 00:40:51.966832","2022-03-03 00:40:51.966832"
